		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001000111  245  241  225  217  267  242  237  227  8.405025 0.394938 SUCCESS  32
001001011  244  238  285  253  225  221  249  225 13.036765 0.110591 SUCCESS  33
001001101  238  216  240  257  254  256  271  263  9.864558 0.274661 SUCCESS  34
001001111  238  242  239  223  259  251  259  226  5.646952 0.686710 SUCCESS  35
001010011  250  238  275  223  245  239  227  231  8.321351 0.402726 SUCCESS  36
001010101  247  250  229  224  274  255  250  257  7.997246 0.433739 SUCCESS  37
001010111  269  239  265  236  261  232  259  233  8.149766 0.418979 SUCCESS  38
001011011  241  266  252  231  222  267  253  241  7.727158 0.460566 SUCCESS  39
001011101  246  227  241  235  251  219  250  261  5.878910 0.660794 SUCCESS  40
001011111  216  235  248  262  210  241  245  220 12.565436 0.127702 SUCCESS  41
001100101  243  247  246  246  244  240  269  243  2.769194 0.947997 SUCCESS  42
001100111  234  251  237  262  236  235  244  245  2.839099 0.944045 SUCCESS  43
001101011  242  267  271  258  257  246  268  283 15.646555 0.047728 SUCCESS  44
001101101  218  232  255  265  255  238  258  277 11.916166 0.154984 SUCCESS  45
001101111  257  219  236  232  231  254  237  220  8.103162 0.423458 SUCCESS  46
001110101  223  256  265  251  231  212  228  229 11.707510 0.164739 SUCCESS  47
001110111  233  217  234  232  266  247  231  223  9.381578 0.311136 SUCCESS  48
001111011  246  241  236  246  239  224  225  240  3.799764 0.874722 SUCCESS  49
001111101  240  259  253  236  241  228  247  250  2.947134 0.937631 SUCCESS  50
001111111  230  238  233  214  213  229  219  249 13.222120 0.104432 SUCCESS  51
010000011  244  221  232  270  237  238  225  246  7.663608 0.467000 SUCCESS  52
010000111  257  262  241  234  259  255  248  256  4.631211 0.796167 SUCCESS  53
010001011  247  246  250  240  255  242  247  246  0.838331 0.999078 SUCCESS  54
010001111  257  250  234  227  251  251  232  212  7.920985 0.441226 SUCCESS  55
010010011  248  250  247  257  231  251  257  244  2.579603 0.957915 SUCCESS  56
010010111  268  241  250  264  230  230  239  210 11.011637 0.201041 SUCCESS  57
010011011  250  197  256  252  255  256  263  244 13.022996 0.111061 SUCCESS  58
010011111  238  218  263  197  266  261  230  238 18.206563 0.019730 SUCCESS  59
010100011  219  227  240  233  227  246  239  227  7.124491 0.523263 SUCCESS  60
010100111  256  236  247  235  262  256  203  233 10.905720 0.207099 SUCCESS  61
010101011  270  259  223  229  261  251  262  250  9.540453 0.298772 SUCCESS  62
010101111  257  256  243  228  285  261  258  249 11.607948 0.169572 SUCCESS  63
010110011  234  251  248  231  243  250  259  281  8.277925 0.406803 SUCCESS  64
010110111  259  278  267  258  244  252  283  242 15.516277 0.049851 SUCCESS  65
010111011  246  232  255  250  259  229  259  253  4.462803 0.813143 SUCCESS  66
010111111  244  253  249  266  243  269  268  231  8.233440 0.411006 SUCCESS  67
011000111  226  255  246  252  235  248  239  263  4.207544 0.837929 SUCCESS  68
011001111  226  257  246  247  225  228  247  232  5.453125 0.708228 SUCCESS  69
011010111  259  252  255  279  273  236  234  273 14.632931 0.066688 SUCCESS  70
011011111  262  248  256  218  236  258  236  225  7.830956 0.450155 SUCCESS  71
011101111  231  212  258  258  274  245  251  255 11.219234 0.189584 SUCCESS  72
011111111  253  238  227  233  240  250  236  232  3.380334 0.908276 SUCCESS  73
100000000  255  234  240  233  246  232  241  235  2.563715 0.958694 SUCCESS  74
100010000  254  235  230  245  256  249  242  263  3.841072 0.871170 SUCCESS  75
100100000  248  253  250  245  244  250  231  244  1.422992 0.993914 SUCCESS  76
100101000  216  256  224  263  226  253  241  241  8.982271 0.343794 SUCCESS  77
100110000  244  234  261  229  243  253  229  247  3.953343 0.861308 SUCCESS  78
100111000  255  267  233  225  219  236  236  231  8.755610 0.363330 SUCCESS  79
101000000  244  239  228  249  261  221  243  254  5.204220 0.735542 SUCCESS  80
101000100  252  250  251  230  248  231  260  273  6.848049 0.553112 SUCCESS  81
101001000  256  244  254  220  264  233  250  255  6.321642 0.611252 SUCCESS  82
101001100  238  257  245  242  236  227  263  256  4.512584 0.808173 SUCCESS  83
101010000  229  250  241  261  231  228  257  268  7.311964 0.503378 SUCCESS  84
101010100  224  252  243  247  222  234  234  275  9.000277 0.342273 SUCCESS  85
101011000  216  242  239  234  223  240  242  242  5.917040 0.656524 SUCCESS  86
101011100  267  240  239  266  270  221  237  237  9.959883 0.267853 SUCCESS  87
101100000  234  263  231  272  253  235  245  240  6.727303 0.566320 SUCCESS  88
101100100  281  241  224  246  241  225  249  226 10.616567 0.224385 SUCCESS  89
101101000  241  257  252  264  244  235  246  236  3.327375 0.912166 SUCCESS  90
101101100  235  263  250  231  229  249  255  243  4.314520 0.827690 SUCCESS  91
101110000  256  231  240  267  252  235  212  254  9.017224 0.340845 SUCCESS  92
101110100  263  234  262  230  233  217  256  266 10.408970 0.237486 SUCCESS  93
101111000  253  222  250  253  263  241  241  228  5.581284 0.694019 SUCCESS  94
101111100  228  245  269  257  230  262  224  216 11.694800 0.165349 SUCCESS  95
110000000  250  256  247  231  239  222  242  248  3.776462 0.876708 SUCCESS  96
110000010  248  249  234  254  272  249  224  239  6.231613 0.621305 SUCCESS  97
110000100  234  239  231  242  270  251  252  234  5.028399 0.754537 SUCCESS  98
110001000  247  245  231  241  274  236  264  253  6.877705 0.549883 SUCCESS  99
110001010  264  211  264  240  257  243  245  243  8.784207 0.360826 SUCCESS 100
110010000  254  249  238  247  255  242  227  244  2.470509 0.963092 SUCCESS 101
110010010  258  240  265  256  236  250  243  265  5.608822 0.690956 SUCCESS 102
110010100  216  252  244  254  242  252  233  221  7.099071 0.525982 SUCCESS 103
110011000  207  229  246  224  247  240  254  258  9.875150 0.273898 SUCCESS 104
110011010  254  236  243  259  253  266  248  275  8.098926 0.423867 SUCCESS 105
110100000  255  238  229  266  244  234  237  254  4.719122 0.787131 SUCCESS 106
110100010  246  266  270  222  259  219  250  247 10.745786 0.216524 SUCCESS 107
110100100  244  245  242  245  235  250  246  246  0.554474 0.999803 SUCCESS 108
110101000  219  245  251  258  236  241  248  257  4.780553 0.780753 SUCCESS 109
110101010  247  261  237  252  209  230  246  268 10.221498 0.249823 SUCCESS 110
110101100  241  254  247  249  244  235  248  252  1.269412 0.995908 SUCCESS 111
110110000  234  274  238  239  269  243  222  243  9.191987 0.326360 SUCCESS 112
110110010  246  249  214  241  219  224  271  230 12.297466 0.138417 SUCCESS 113
110110100  231  232  242  255  235  220  269  257  8.015251 0.431982 SUCCESS 114
110111000  237  257  219  231  240  256  237  246  5.221167 0.733697 SUCCESS 115
110111010  257  252  250  256  249  237  239  278  6.997391 0.536914 SUCCESS 116
110111100  209  223  256  250  253  227  229  241 10.448160 0.234968 SUCCESS 117
111000000  263  246  230  235  243  237  236  236  3.502138 0.899024 SUCCESS 118
111000010  208  235  263  268  229  264  233  238 13.132090 0.107385 SUCCESS 119
111000100  273  263  225  235  278  240  249  233 12.502945 0.130135 SUCCESS 120
111000110  240  271  229  238  228  247  233  257  6.623505 0.577743 SUCCESS 121
111001000  241  238  227  236  261  248  236  266  5.299545 0.725133 SUCCESS 122
111001010  252  231  234  257  262  248  246  223  5.452066 0.708345 SUCCESS 123
111001100  231  219  248  226  248  219  246  256  8.210138 0.413217 SUCCESS 124
111010000  287  247  244  236  250  251  243  232  9.077597 0.335792 SUCCESS 125
111010010  227  254  230  266  238  232  240  248  5.445711 0.709047 SUCCESS 126
111010100  232  255  258  255  252  212  243  228  8.182600 0.415840 SUCCESS 127
111010110  237  260  257  253  243  234  238  237  3.132488 0.925770 SUCCESS 128
111011000  233  253  249  251  256  259  223  223  6.475222 0.594157 SUCCESS 129
111011010  251  239  230  263  275  240  227  237  8.234499 0.410905 SUCCESS 130
111011100  237  247  207  210  262  244  226  228 14.870185 0.061719 SUCCESS 131
111100000  232  252  249  227  264  243  231  217  7.754696 0.457792 SUCCESS 132
111100010  281  248  239  230  277  260  233  257 13.654260 0.091234 SUCCESS 133
111100100  245  233  254  247  245  247  226  261  3.612291 0.890302 SUCCESS 134
111100110  209  238  240  234  244  245  246  240  5.982709 0.649169 SUCCESS 135
111101000  262  234  270  251  253  237  240  233  5.969999 0.650593 SUCCESS 136
111101010  228  255  253  267  217  251  257  204 14.994107 0.059260 SUCCESS 137
111101100  256  265  233  222  239  248  236  225  7.046113 0.531666 SUCCESS 138
111101110  220  241  232  244  266  227  237  232  7.237822 0.511204 SUCCESS 139
111110000  227  232  267  244  234  252  231  204 12.330301 0.137064 SUCCESS 140
111110010  233  239  231  241  247  253  250  243  1.927156 0.983164 SUCCESS 141
111110100  248  233  241  252  218  233  241  237  4.564483 0.802948 SUCCESS 142
111110110  257  287  248  240  241  259  254  217 13.135268 0.107279 SUCCESS 143
111111000  253  233  235  220  256  236  252  241  4.857873 0.772653 SUCCESS 144
111111010  265  223  253  280  198  260  236  221 22.149844 0.004646 FAILURE 145
111111100  257  236  223  209  238  242  251  245  8.481285 0.387922 SUCCESS 146
111111110  253  238  227  233  240  250  236  232  3.380334 0.908276 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  260  235  240  238  251  236  258  281  8.707947 0.367529 SUCCESS   0
000000011  270  214  244  248  216  258  249  276 15.317153 0.053264 SUCCESS   1
000000101  250  255  219  236  263  259  257  248  6.814155 0.556810 SUCCESS   2
000000111  242  245  235  243  220  252  248  270  6.009188 0.646203 SUCCESS   3
000001001  221  233  232  227  255  251  244  259  6.294104 0.614325 SUCCESS   4
000001011  229  275  230  258  281  235  273  250 16.461054 0.036237 SUCCESS   5
000001101  266  246  269  236  220  251  257  261  9.518210 0.300481 SUCCESS   6
000001111  247  241  230  248  246  252  256  263  3.369742 0.909061 SUCCESS   7
000010001  224  233  227  241  235  242  224  246  5.626828 0.688952 SUCCESS   8
000010011  247  227  236  231  261  252  256  264  6.027194 0.644186 SUCCESS   9
000010101  236  248  226  218  261  257  266  256  9.160212 0.328962 SUCCESS  10
000010111  226  285  233  241  241  234  244  257 10.214083 0.250320 SUCCESS  11
000011001  243  221  228  261  237  239  249  225  6.555718 0.585234 SUCCESS  12
000011011  253  254  275  262  216  248  241  301 23.300100 0.003000 FAILURE  13
000011101  248  244  231  251  214  232  223  249  7.452833 0.488653 SUCCESS  14
000011111  257  244  231  234  242  246  269  253  4.855754 0.772876 SUCCESS  15
000100011  228  249  238  248  244  243  227  269  5.294250 0.725713 SUCCESS  16
000100101  247  210  246  241  232  257  228  245  7.454952 0.488434 SUCCESS  17
000100111  255  223  249  237  254  224  232  263  6.968794 0.540003 SUCCESS  18
000101001  235  235  240  241  245  252  250  223  3.121897 0.926476 SUCCESS  19
000101011  241  277  277  228  262  249  252  260 13.085487 0.108942 SUCCESS  20
000101101  251  256  248  248  241  247  243  229  1.975877 0.981742 SUCCESS  21
000101111  237  247  231  231  222  234  234  253  4.986032 0.759068 SUCCESS  22
000110011  264  249  233  264  255  221  256  232  7.959116 0.437474 SUCCESS  23
000110101  248  268  279  233  241  246  240  243  8.289576 0.405707 SUCCESS  24
000110111  266  252  289  251  226  242  245  259 13.373581 0.099626 SUCCESS  25
000111001  244  242  235  257  242  235  272  211  9.386874 0.310718 SUCCESS  26
000111011  250  258  221  247  227  246  237  243  4.740305 0.784938 SUCCESS  27
000111101  218  226  259  250  264  222  238  251  9.473725 0.303921 SUCCESS  28
000111111  276  266  234  252  262  242  272  241 11.735048 0.163423 SUCCESS  29
001000011  239  255  262  238  234  251  254  289 11.704332 0.164891 SUCCESS  30
001000101  224  234  243  242  244  243  218  236  5.351445 0.719437 SUCCESS  31
001000111  232  246  229  237  227  232  229  226  6.048377 0.641813 SUCCESS  32
001001011  228  232  232  219  227  273  250  238 10.101812 0.257953 SUCCESS  33
001001101  289  235  249  229  261  257  279  256 17.613429 0.024319 SUCCESS  34
001001111  256  225  247  200  245  237  238  243 10.813572 0.212488 SUCCESS  35
001010011  239  237  246  243  259  239  243  245  1.403927 0.994191 SUCCESS  36
001010101  227  211  245  234  256  260  237  237  8.424090 0.393177 SUCCESS  37
001010111  242  239  245  227  215  272  229  231  9.960942 0.267778 SUCCESS  38
001011011  269  240  250  242  248  228  195  250 14.394618 0.072042 SUCCESS  39
001011101  266  274  227  252  263  231  232  234 10.610212 0.224778 SUCCESS  40
001011111  255  248  252  229  235  263  260  250  4.872701 0.771091 SUCCESS  41
001100101  216  232  246  261  261  255  247  229  7.907216 0.442586 SUCCESS  42
001100111  253  234  245  238  221  244  257  237  4.113278 0.846761 SUCCESS  43
001101011  263  280  250  236  268  253  262  253 11.824018 0.159230 SUCCESS  44
001101101  230  248  269  256  236  264  279  264 12.907547 0.115070 SUCCESS  45
001101111  264  248  240  268  242  240  242  242  4.353709 0.823884 SUCCESS  46
001110101  222  233  261  252  240  243  228  239  5.357800 0.718738 SUCCESS  47
001110111  242  242  233  224  251  222  237  229  5.736982 0.676667 SUCCESS  48
001111011  229  215  262  241  252  222  234  248  8.792680 0.360086 SUCCESS  49
001111101  223  238  221  242  236  224  265  274 11.957473 0.153111 SUCCESS  50
001111111  251  265  241  221  274  246  272  246 11.456487 0.177151 SUCCESS  51
010000011  271  264  231  242  257  260  250  251  7.598998 0.473587 SUCCESS  52
010000111  232  226  226  254  266  251  259  254  7.397757 0.494387 SUCCESS  53
010001011  272  230  232  263  230  240  222  239  9.372045 0.311889 SUCCESS  54
010001111  230  237  235  235  236  217  233  218  8.578729 0.379069 SUCCESS  55
010010011  242  219  241  233  246  259  235  228  5.666017 0.684585 SUCCESS  56
010010111  239  266  234  232  240  265  246  238  5.287895 0.726409 SUCCESS  57
010011011  300  238  282  247  244  265  260  275 26.451124 0.000879 FAILURE  58
010011111  252  230  243  236  249  255  264  263  5.177741 0.738421 SUCCESS  59
010100011  220  257  238  260  261  251  252  216  9.415471 0.308468 SUCCESS  60
010100111  224  220  235  242  264  245  256  252  7.090598 0.526890 SUCCESS  61
010101011  240  234  280  240  225  235  237  218 11.040234 0.199430 SUCCESS  62
010101111  226  223  244  241  231  255  252  244  4.817624 0.776879 SUCCESS  63
010110011  219  265  255  264  238  248  273  240 10.522301 0.230262 SUCCESS  64
010110111  259  237  256  235  253  238  215  245  6.192424 0.625687 SUCCESS  65
010111011  257  276  231  245  231  257  206  209 18.557147 0.017416 SUCCESS  66
010111111  236  257  279  234  240  257  268  270 12.595092 0.126561 SUCCESS  67
011000111  250  257  242  265  268  238  229  238  6.415908 0.600749 SUCCESS  68
011001111  253  259  222  252  222  234  247  234  6.585375 0.581954 SUCCESS  69
011010111  254  274  240  241  267  248  276  251 11.093193 0.196474 SUCCESS  70
011011111  260  253  231  253  226  246  251  226  5.463716 0.707057 SUCCESS  71
011101111  241  236  247  256  246  226  222  233  4.958493 0.762003 SUCCESS  72
011111111  238  251  256  228  260  247  268  246  5.590817 0.692959 SUCCESS  73
100000000  260  235  240  238  251  236  258  281  8.707947 0.367529 SUCCESS  74
100010000  238  240  242  254  263  234  256  247  3.239464 0.918443 SUCCESS  75
100100000  233  245  216  256  223  255  241  250  7.055645 0.530641 SUCCESS  76
100101000  237  243  253  289  267  242  267  257 14.241039 0.075695 SUCCESS  77
100110000  223  246  272  249  248  261  226  260  9.027816 0.339955 SUCCESS  78
100111000  246  234  247  269  235  258  247  246  4.324052 0.826767 SUCCESS  79
101000000  267  238  229  237  224  273  283  264 16.884722 0.031332 SUCCESS  80
101000100  244  246  254  232  259  256  255  249  3.187565 0.922041 SUCCESS  81
101001000  257  222  228  238  254  231  249  261  6.486872 0.592864 SUCCESS  82
101001100  229  248  243  255  247  244  239  246  1.700494 0.988858 SUCCESS  83
101010000  237  253  210  258  232  239  242  254  7.464484 0.487444 SUCCESS  84
101010100  225  201  230  239  266  249  232  254 13.549403 0.094293 SUCCESS  85
101011000  260  242  264  254  250  207  226  255 11.051885 0.198777 SUCCESS  86
101011100  235  243  262  234  241  244  272  236  5.759224 0.674182 SUCCESS  87
101100000  244  263  246  238  249  241  269  254  4.859991 0.772430 SUCCESS  88
101100100  255  231  246  221  265  223  226  233  9.164448 0.328614 SUCCESS  89
101101000  251  251  252  246  243  259  239  232  2.355059 0.968147 SUCCESS  90
101101100  276  244  215  238  259  250  250  229 10.256450 0.247486 SUCCESS  91
101110000  227  240  234  278  234  206  249  243 13.308971 0.101652 SUCCESS  92
101110100  266  259  236  255  247  242  233  251  4.524235 0.807004 SUCCESS  93
101111000  268  274  259  249  239  237  236  253  8.174127 0.416649 SUCCESS  94
101111100  257  237  246  252  237  239  245  256  2.122042 0.977040 SUCCESS  95
110000000  264  264  260  242  252  254  262  245  6.466748 0.595098 SUCCESS  96
110000010  203  264  225  243  260  252  263  245 13.236948 0.103953 SUCCESS  97
110000100  257  239  238  238  232  245  236  265  3.883438 0.867484 SUCCESS  98
110001000  226  249  258  264  250  245  238  267  6.506997 0.590632 SUCCESS  99
110001010  255  240  268  236  247  233  229  266  6.823688 0.555770 SUCCESS 100
110010000  211  246  239  235  232  262  236  262  8.737604 0.364913 SUCCESS 101
110010010  249  265  248  237  244  234  240  246  2.746951 0.949221 SUCCESS 102
110010100  252  240  244  292  251  234  243  274 14.466642 0.070385 SUCCESS 103
110011000  224  251  263  264  243  226  244  246  6.511233 0.590162 SUCCESS 104
110011010  262  216  239  273  254  252  293  228 20.246520 0.009443 FAILURE 105
110100000  266  236  238  212  245  289  268  251 17.988374 0.021314 SUCCESS 106
110100010  243  239  239  237  249  260  247  230  2.491692 0.962117 SUCCESS 107
110100100  250  218  219  244  240  251  223  220 10.341184 0.241891 SUCCESS 108
110101000  243  247  233  249  229  264  265  220  7.620182 0.471423 SUCCESS 109
110101010  238  224  265  245  235  224  232  235  6.768611 0.561791 SUCCESS 110
110101100  253  229  241  247  267  239  248  252  4.033840 0.854057 SUCCESS 111
110110000  272  262  220  226  226  244  257  252 10.860176 0.209748 SUCCESS 112
110110010  267  242  257  240  258  237  223  243  5.937164 0.654270 SUCCESS 113
110110100  239  262  266  250  223  270  226  241  9.798890 0.279426 SUCCESS 114
110111000  245  250  258  261  241  219  250  239  5.144907 0.741982 SUCCESS 115
110111010  250  229  240  229  228  238  239  227  4.771021 0.781746 SUCCESS 116
110111100  273  253  303  258  237  225  224  251 23.048018 0.003303 FAILURE 117
111000000  251  241  241  239  228  232  260  254  3.599581 0.891325 SUCCESS 118
111000010  240  260  228  265  218  219  247  248  9.752286 0.282844 SUCCESS 119
111000100  251  241  255  269  256  264  244  235  5.988004 0.648576 SUCCESS 120
111000110  278  284  249  273  259  232  238  245 16.953567 0.030596 SUCCESS 121
111001000  237  254  244  214  239  260  235  252  6.267625 0.617281 SUCCESS 122
111001010  247  248  244  239  246  253  228  243  1.665541 0.989606 SUCCESS 123
111001100  229  229  262  240  245  225  260  229  6.953965 0.541608 SUCCESS 124
111010000  239  241  250  224  243  269  244  275  8.680409 0.369969 SUCCESS 125
111010010  256  250  195  257  242  235  244  226 13.433953 0.097765 SUCCESS 126
111010100  233  257  258  224  243  252  243  246  4.046550 0.852899 SUCCESS 127
111010110  254  240  220  244  271  236  248  257  7.056705 0.530527 SUCCESS 128
111011000  257  244  221  224  217  256  242  260  9.485376 0.303017 SUCCESS 129
111011010  254  241  268  249  231  251  226  243  5.297427 0.725365 SUCCESS 130
111011100  233  241  239  232  251  215  241  246  5.150203 0.741408 SUCCESS 131
111100000  228  246  234  248  226  233  257  251  4.433146 0.816084 SUCCESS 132
111100010  269  243  260  261  260  243  229  250  7.089539 0.527004 SUCCESS 133
111100100  257  238  260  230  249  256  229  239  4.552832 0.804124 SUCCESS 134
111100110  220  221  255  244  263  250  254  230  8.146588 0.419284 SUCCESS 135
111101000  249  222  261  235  237  257  265  249  6.598085 0.580550 SUCCESS 136
111101010  224  243  249  231  264  242  243  269  6.871350 0.550575 SUCCESS 137
111101100  242  259  234  240  212  255  247  270  9.207874 0.325065 SUCCESS 138
111101110  216  215  244  230  239  231  251  230  9.677085 0.288426 SUCCESS 139
111110000  251  252  220  226  215  263  263  240 11.005282 0.201400 SUCCESS 140
111110010  288  237  238  236  256  266  234  251 12.068686 0.148165 SUCCESS 141
111110100  251  246  233  252  242  240  272  252  4.648157 0.794434 SUCCESS 142
111110110  246  244  231  232  210  237  253  271  9.910102 0.271392 SUCCESS 143
111111000  252  254  250  254  242  248  256  259  2.852868 0.943249 SUCCESS 144
111111010  278  248  248  261  251  241  252  242  6.718830 0.567250 SUCCESS 145
111111100  238  253  246  211  261  243  278  244 11.229825 0.189014 SUCCESS 146
111111110  238  251  256  228  260  247  268  246  5.590817 0.692959 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  236  258  257  247  248  248  264  238  3.792350 0.875356 SUCCESS   0
000000011  233  259  223  250  251  222  249  224  7.589466 0.474563 SUCCESS   1
000000101  241  218  255  250  239  240  232  243  4.391839 0.820154 SUCCESS   2
000000111  213  248  227  225  245  213  263  241 12.618394 0.125671 SUCCESS   3
000001001  276  265  272  243  241  270  266  251 14.553493 0.068432 SUCCESS   4
000001011  233  238  243  214  250  249  254  250  5.339794 0.720717 SUCCESS   5
000001101  226  244  249  262  267  229  211  228 11.782711 0.161165 SUCCESS   6
000001111  224  255  238  247  240  229  251  236  3.932160 0.863192 SUCCESS   7
000010001  224  253  243  233  244  262  243  274  7.719744 0.461314 SUCCESS   8
000010011  278  250  273  223  247  252  264  257 13.104552 0.108303 SUCCESS   9
000010101  230  224  246  249  241  241  229  219  6.403198 0.602164 SUCCESS  10
000010111  236  246  226  238  249  225  236  264  5.448888 0.708696 SUCCESS  11
000011001  228  256  233  231  222  254  247  231  6.205134 0.624266 SUCCESS  12
000011011  237  251  260  265  253  241  237  241  3.960758 0.860647 SUCCESS  13
000011101  270  239  218  237  230  225  235  224 10.518065 0.230529 SUCCESS  14
000011111  223  255  233  243  260  241  225  243  5.585521 0.693548 SUCCESS  15
000100011  240  250  220  220  250  261  242  241  6.563133 0.584414 SUCCESS  16
000100101  243  242  239  234  238  249  269  225  5.000860 0.757484 SUCCESS  17
000100111  279  241  261  238  217  230  251  259 11.659847 0.167038 SUCCESS  18
000101001  295  258  264  249  237  249  206  236 20.309011 0.009228 FAILURE  19
000101011  248  228  240  260  264  234  240  238  4.643921 0.794868 SUCCESS  20
000101101  284  248  277  204  250  249  281  266 26.235054 0.000957 FAILURE  21
000101111  252  251  262  259  255  228  250  263  6.012365 0.645847 SUCCESS  22
000110011  203  277  223  223  231  247  258  230 17.951303 0.021595 SUCCESS  23
000110101  228  236  274  243  280  257  260  234 12.824932 0.118017 SUCCESS  24
000110111  243  264  246  250  268  242  236  220  7.019634 0.534516 SUCCESS  25
000111001  243  223  228  258  233  265  249  261  7.490963 0.484702 SUCCESS  26
000111011  264  239  213  243  224  223  230  244 10.346479 0.241545 SUCCESS  27
000111101  218  232  236  239  242  241  249  248  4.130224 0.845187 SUCCESS  28
000111111  220  244  268  237  259  265  235  248  8.295931 0.405110 SUCCESS  29
001000011  237  235  246  241  223  242  263  241  4.084680 0.849404 SUCCESS  30
001000101  264  255  287  272  245  197  237  250 23.027894 0.003329 FAILURE  31
001000111  238  254  229  231  264  253  226  248  5.733804 0.677021 SUCCESS  32
001001011  242  224  246  241  256  252  246  243  2.671750 0.953241 SUCCESS  33
001001101  229  265  250  244  252  250  232  242  4.012657 0.855980 SUCCESS  34
001001111  245  259  238  234  249  241  239  262  3.140962 0.925202 SUCCESS  35
001010011  261  244  249  258  241  243  244  239  2.280918 0.971166 SUCCESS  36
001010101  247  245  254  254  226  248  259  247  3.292423 0.914689 SUCCESS  37
001010111  246  234  227  238  251  231  239  249  2.992678 0.934816 SUCCESS  38
001011011  268  250  272  214  242  265  266  277 18.169492 0.019991 SUCCESS  39
001011101  231  239  231  243  232  238  237  227  3.815652 0.873361 SUCCESS  40
001011111  265  232  258  251  261  237  224  221  8.888006 0.351832 SUCCESS  41
001100101  238  232  263  245  231  247  233  243  3.588990 0.892174 SUCCESS  42
001100111  218  253  228  238  238  270  257  253  8.517297 0.384635 SUCCESS  43
001101011  248  220  261  248  253  248  273  264  9.402761 0.309466 SUCCESS  44
001101101  228  285  262  259  220  245  258  268 16.170843 0.039999 SUCCESS  45
001101111  276  246  241  254  263  256  232  227  8.746077 0.364167 SUCCESS  46
001110101  243  233  208  263  239  241  242  230  8.585084 0.378496 SUCCESS  47
001110111  253  249  220  230  234  228  237  253  5.830188 0.666247 SUCCESS  48
001111011  221  230  220  237  256  241  257  264  8.806450 0.358886 SUCCESS  49
001111101  208  249  238  243  256  225  226  254  9.745931 0.283313 SUCCESS  50
001111111  239  239  264  232  251  251  227  257  4.864228 0.771984 SUCCESS  51
010000011  242  267  234  230  250  253  249  247  4.131284 0.845089 SUCCESS  52
010000111  249  253  213  255  231  235  235  247  6.510174 0.590279 SUCCESS  53
010001011  268  244  260  239  237  222  259  220  9.286253 0.318727 SUCCESS  54
010001111  207  243  259  239  248  243  238  244  7.121314 0.523602 SUCCESS  55
010010011  226  251  241  249  235  264  236  240  4.112219 0.846859 SUCCESS  56
010010111  269  232  246  240  248  241  251  218  6.528180 0.588284 SUCCESS  57
010011011  270  263  253  261  254  255  258  238  7.774820 0.455770 SUCCESS  58
010011111  255  248  243  260  245  231  230  257  3.918391 0.864410 SUCCESS  59
010100011  205  247  257  243  251  240  246  215 11.109080 0.195595 SUCCESS  60
010100111  235  242  241  260  229  269  245  227  6.317406 0.611724 SUCCESS  61
010101011  241  242  255  260  246  248  260  229  3.744687 0.879393 SUCCESS  62
010101111  239  250  262  261  259  241  267  244  6.013424 0.645728 SUCCESS  63
010110011  248  243  236  262  229  265  218  235  7.762110 0.457046 SUCCESS  64
010110111  287  243  276  242  245  249  266  278 19.110033 0.014282 SUCCESS  65
010111011  240  221  236  238  247  234  241  237  3.502138 0.899024 SUCCESS  66
010111111  238  251  265  254  254  242  243  230  3.901444 0.865904 SUCCESS  67
011000111  245  215  219  225  234  245  223  272 13.441367 0.097539 SUCCESS  68
011001111  235  247  237  240  226  274  237  236  6.342826 0.608889 SUCCESS  69
011010111  237  201  253  229  264  247  270  230 14.787570 0.063410 SUCCESS  70
011011111  281  235  247  262  266  254  247  261 11.184281 0.191475 SUCCESS  71
011101111  248  248  223  227  216  250  239  240  6.941255 0.542984 SUCCESS  72
011111111  256  244  260  233  247  277  238  244  6.962439 0.540691 SUCCESS  73
100000000  236  258  257  247  248  248  263  238  3.628179 0.889017 SUCCESS  74
100010000  245  248  233  257  235  267  214  234  8.142352 0.419690 SUCCESS  75
100100000  264  244  265  211  234  269  259  267 14.378731 0.072413 SUCCESS  76
100101000  232  214  239  259  249  234  245  234  6.488991 0.592629 SUCCESS  77
100110000  245  229  250  228  222  218  232  220 10.274456 0.246289 SUCCESS  78
